"Name","Domain","Tier","Status","Typefaces","Notes"
"Font Foundries","fontsquirrel.com","notgood","Not tried","",""
"Fontfabric™","fontfabric.com","okay","Indexed with images","54",""
"FontHaus: Fonts for Desktop, Print, eBooks, Apps, and Web...","fonthaus.com","okay","Not tried","",""
"Fonts","intervaltype.com","best","Indexed with images","22",""
"Fonts","crescenzi.co","best","Indexed with images","2",""
"Fonts","dirtylinestudio.com","best","Indexed with images","15",""
"Fonts","studio2am.co","okay","Not tried","",""
"Fonts","ui8.net","okay","Not tried","",""
"Fonts - A Type of Amigo","atypeofamigo.com","best","Indexed with images","12",""
"Fonts - Black Foundry","black-foundry.com","loose","Not tried","",""
"Fonts - Typofonderie","typofonderie.com","notgood","Not tried","",""
"Fonts - XYZ Type","xyztype.com","okay","Indexed with images","9",""
"Fonts by Leinster Type","leinstertype.com","best","Indexed with images","7",""
"fontsfromfolch.com","fontsfromfolch.com","okay","Not tried","",""
"Fontshare","fontshare.com","okay","Not tried","",""
"Free Faces","freefaces.gallery","notgood","Not tried","",""
"Frost","frostype.xyz","best","Indexed with images","14",""
"Future Fonts","futurefonts.xyz","okay","Not tried","",""
"Gallery Type","gallerytype.com","loose","Not tried","",""
"General Type Studio","generaltypestudio.com","best","Indexed with images","8",""
"Google Fonts","fonts.google.com","okay","Not tried","",""
"Gradient® A Type Design Agency","wearegradient.net","okay","Indexed with images","10",""
"Grilli Type","grillitype.com","best","Issues","","In index map but no data file"
"Groteskly Yours Studio","groteskly.xyz","best","Indexed with images","13",""
"G마켓 - 쇼핑을 바꾸는 쇼핑","corp.gmarket.com","notgood","Not tried","",""
"HAL Typefaces","type.hanli.eu","loose","Not tried","",""
"Hand Drawn Fonts","taylorpenton.com","best","Indexed with images","65",""
"HB Type","hbtype.com","loose","Not tried","",""
"Heritage Type Co.","heritagetype.com","notgood","Not tried","",""
"Hey","heytype.xyz","notgood","Not tried","",""
"Hoefler&Co.","typography.com","notgood","Issues","","In index map but no data file"
"Home","typespec.co.uk","best","Indexed with images","2",""
"Home","a2-type.co.uk","best","Indexed with images","140",""
"Home","formerly-known.com","notgood","Not tried","",""
"Home - Fontwerk","fontwerk.com","best","Indexed with images","16",""
"Home - Mark Simonson","marksimonson.com","notgood","Not tried","",""
"Hot Type","hottype.co","best","Indexed with images","9",""
"HvD Fonts","hvdfonts.com","okay","Indexed with images","76",""
"Ian Adjeidu","studioplums.com","best","Issues","","portfolio site, no listing page"
"Indian Type Foundry","indiantypefoundry.com","okay","Indexed with images","25",""
"Joliciatype","joliciatype.com","notgood","Not tried","",""
"Just Another Foundry","justanotherfoundry.com","okay","Not tried","",""
"Kilotype","kilotype.de","okay","Indexed with images","12",""
"Klim Type Foundry - Home","klim.co.nz","best","Issues","","In index map but no data file"
"KOMETA Typefaces","kometa.xyz","okay","Indexed with images","6",""
"Kurppa Hosk Type","khtype.com","okay","Indexed with images","6",""
"Latinotype Foundry","latinotype.com","okay","Not tried","",""
"Letterhead Fonts / Handcrafted Letters For The Professional...","letterheadfonts.com","notgood","Not tried","",""
"Lettering & Logotypes - James Plattner Studio","jamesplattner.com","loose","Not tried","",""
"Letterjuice","letterjuice.cat","okay","Issues","","In index map but no data file"
"Lettermin","lettermin.com","okay","Not tried","",""
"Letters from Sweden","lettersfromsweden.se","okay","Indexed with images","44",""
"Lettersetal","experim-etal.lettersetal.co.uk","best","Issues","","JS-rendered"
"Lewis McGuffie's Typeface Design Portfolio Website","lewismcguffie.com","okay","Not tried","",""
"⚧ LIBRE FONTS BY WOMXN","design-research.be","okay","Not tried","",""
"Lift Type","lift-type.fr","best","Indexed with images","18",""
"limitype","limitype.com","best","Issues","","JS-rendered, no crawlable listing"
"Lineto.com","lineto.com","okay","Indexed with images","92",""
"lo-ol Type","lo-ol.design","okay","Not tried","",""
"Lost Type Co-op","losttype.com","notgood","Not tried","",""
"LucasFonts","lucasfonts.com","notgood","Not tried","",""
"Luzi Type Foundry","luzi-type.ch","best","Indexed with images","28",""
"Margot Lévêque Studio","margotleveque.com","notgood","Not tried","",""
"McLetters","mcletters.co","best","Issues","","JS-rendered"
"MilieuGrotesque","milieugrotesque.com","okay","Issues","","In index map but no data file"
"Mojomox Fonts","fonts.mojomox.com","okay","Indexed with images","2",""
"Monkey Type","monkeytype.xyz","okay","Issues","","In index map but no data file"
"Monokrom","monokrom.no","notgood","Not tried","",""
"MoTyFo - Mostardesign Type Foundry","motyfo.com","notgood","Not tried","",""
"nan.xyz","nan.xyz","best","Indexed with images","26",""
"Narrow Type","narrowtype.com","okay","Indexed with images","3",""
"NBL","neubauladen.com","notgood","Not tried","",""
"Neubau / NB Akademie™ (OTF Std/Pro)","neubauberlin.com","notgood","Not tried","",""
"News - ECAL Typefaces","ecal-typefaces.ch","okay","Indexed with images","21",""
"Nikolas Type - Independent Type Foundry","nikolastype.com","okay","Indexed with images","4",""
"Nouvelle Noire: High quality Swiss typefaces","nouvellenoire.ch","okay","Not tried","",""
"Off Type Foundry","off-type.com","loose","Not tried","",""
"OH no Type Company","ohnotype.co","okay","Indexed with images","25",""
"OpenFoundry / Hot 30","open-foundry.com","okay","Not tried","",""
"Optimo","optimo.ch","best","Indexed with images","28",""
"Order - Order Type Foundry","order.design","okay","Indexed with images","9",""
"Ornamental & Title Type","ott-foundry.com","best","Issues","","In index map but no data file"
"Our Fonts","lettermatic.com","okay","Indexed with images","4",""
"Out of the Dark","outofthedark.swiss","best","Not tried","",""
"Overlap Type","overlaptype.com","notgood","Not tried","",""
"P22 Type Foundry","p22.com","notgood","Not tried","",""
"Pangram Pangram Foundry","pangrampangram.com","best","Issues","","In index map but no data file"
"Paratype.com","paratype.com","best","Issues","","large catalogue, no structured listing page"
"Patio Foundry","patiofoundry.com","loose","Not tried","",""
"Pizza Typefaces - Pizza Typefaces","typefaces.pizza","best","Indexed with images","27",""
"PLAYTYPE - Type Foundry - Retail and Custom-made fonts","playtype.com","best","Indexed with images","106",""
"Power Type™ Foundry","power-type.com","best","Not tried","",""
"Preview Fonts","castletype.com","best","Issues","","old static site, no structured listing"
"Prioritype Co","prioritypeco.com","best","Indexed with images","32",""
"Process Type Foundry","processtypefoundry.com","notgood","Not tried","",""
"PSY/OPS Type Foundry","psyops.com","notgood","Not tried","",""
"R-Typography","r-typography.com","okay","Not tried","",""
"Rajesh Rajput","behance.net","best","Issues","","Behance portfolio, not indexable"
"Regular Bold Italic","regularbolditalic.com","okay","Not tried","",""
"Resistenza Type","rsztype.com","notgood","Not tried","",""
"Retail Fonts - Capitalics Warsaw Type Foundry","capitalics.wtf","best","Issues","","JS-rendered"
"Riegla & Riegraf","typefriends.com","okay","Not tried","",""
"Rosetta","rosettatype.com","notgood","Not tried","",""
"RP - Digital Type Foundry","radimpesko.com","okay","Indexed with images","21",""
"Schick Toikka","schick-toikka.com","best","Indexed with images","44",""
"Sharp Type","sharptype.co","notgood","Not tried","",""
"Signal Foundry","signalfoundry.com","best","Indexed with images","18",""
"SilverStag Type Foundry","silverstag.design","okay","Not tried","",""
"SilverStag Type Foundry","silverstagtype.com","okay","Indexed with images","17",""
"Smuss Type Kiosk","typekiosk.smuss.studio","loose","Not tried","",""
"Sociotype - Homepage","socio-type.com","best","Indexed with images","5",""
"Source Type: Typefaces","sourcetype.com","best","Not tried","",""
"Souvenir Typefaces","souvenirtypefaces.xyz","best","Not tried","",""
"Store Norske Skriftkompani","skriftkompani.no","loose","Not tried","",""
"Storm Type Foundry","stormtype.com","notgood","Not tried","",""
"Studio Rene Bieder","renebieder.com","best","Indexed with images","28",""
"Studio Triple","studiotriple.fr","okay","Not tried","",""
"Sudtipos foundry · Home","sudtipos.com","notgood","Not tried","",""
"Suitcase Type Foundry","suitcasetype.com","okay","Indexed with images","51",""
"Sun","sun.fo","notgood","Not tried","",""
"Superior Type","superiortype.com","okay","Not tried","",""
"Swiss Typefaces","swisstypefaces.com","okay","Indexed with images","19",""
"T.26 Digital Type Foundry","t26.com","okay","Not tried","",""
"That That Type","thatthattype.com","best","Indexed with images","45",""
"The Designers Foundry","thedesignersfoundry.com","best","Indexed with images","64",""
"The Foundry Types","thefoundrytypes.com","okay","Indexed with images","40",""
"The League of Moveable Type","theleagueofmoveabletype.com","notgood","Not tried","",""
"The Northern Block - Font Foundry","thenorthernblock.co.uk","best","Not tried","",""
"Threedotstype: Shop","threedotstype.com","best","Issues","","JS-rendered, no listing page"
"TIGHTYPE™","tightype.com","best","Indexed with images","16",""
"Tokotype • Fonts, Goods, Services.","tokotype.com","okay","Not tried","",""
"TROPICAL TYPE. Modern Fonts, Typefaces & Bundle Deals -...","tropicaltype.com","okay","Not tried","",""
"Tüpokompanii","typokompanii.com","best","Issues","","JS-rendered"
"TYPE BY","typeby.com","loose","Not tried","",""
"Type Department","type-department.com","okay","Not tried","",""
"Type Forward","typeforward.com","okay","Issues","","In index map but no data file"
"Type Foundries","typenetwork.com","okay","Not tried","",""
"Type of Feeling Type Foundry","typeoffeeling.com","best","Not tried","",""
"type.today","type.today","okay","Not tried","",""
"TYPE.WELTKERN®","weltkern.com","okay","Indexed with images","8",""
"TYPE01","type-01.com","okay","Not tried","",""
"Typefaces","c-a-s-t.com","best","Indexed with images","85",""
"Typefaces","due-studio.com","best","Indexed with images","11",""
"Typefaces","deathoftypography.com","okay","Indexed with images","7",""
"TypeMates","typemates.com","okay","Indexed with images","49",""
"TypeTogether","type-together.com","okay","Indexed with images","127",""
"TypeType","typetype.org","okay","Indexed with images","24",""
"Typeverything","typeverything.com","best","Issues","","inspiration blog, not a foundry"
"Typotheque type foundry - high quality fonts for print and...","typotheque.com","okay","Indexed with images","198",""
"U+270D","u270d.eesab.fr","okay","Not tried","",""
"Undercase Type","undercase.xyz","notgood","Not tried","",""
"Uxum® Typeface","uxumuxum.com","okay","Not tried","",""
"Village","vllg.com","okay","Issues","","In index map but no data file"
"VJ Type Typefaces","vj-type.com","best","Indexed with images","14",""
"VTF","velvetyne.fr","notgood","Not tried","",""
"Welcome - Ultra Kuhl Typefaces","ultra-kuhl.com","best","Issues","","In index map but no data file"
"Welcome to UNCUT.wtf","uncut.wtf","okay","Not tried","",""
"X Cicéro","xcicero.esad-gv.net","okay","Not tried","",""
"YouWorkForThem","youworkforthem.com","best","Issues","","reseller marketplace, not a foundry"
"zetafonts · the Italian type foundry","zetafonts.com","okay","Not tried","",""
